Unnamed: 0,Country,Attacks,iso_a3
0,United States of America,2551,USA
1,Australia,1485,AUS
2,South Africa,598,ZAF
3,New Zealand,145,NZL
4,The Bahamas,137,BHS
5,Papua New Guinea,136,PNG
6,Brazil,122,BRA
7,Mexico,106,MEX
8,ITALY,72,ITA
9,Fiji,70,FJI
10,NEW CALEDONIA,65,NCL
11,Philippines,64,PHL
12,REUNION,60,REU
13,Egypt,51,EGY
14,Cuba,49,CUB
15,SPAIN,46,ESP
16,Mozambique,46,MOZ
17,India,41,IND
18,ATLANTIC OCEAN,39,
19,FRENCH POLYNESIA,38,PYF
20,JAPAN,36,JPN
21,Croatia,35,HRV
22,Panama,32,PAN
23,Jamaica,31,JAM
24,Solomon Islands,30,SLB
25,PACIFIC OCEAN,30,
26,IRAN,29,IRN
27,Kingdom of England,25,GBR
28,Indonesia,24,IDN
29,HONG KONG,24,HKG
30,Greece,24,GRC
31,Tonga,18,TON
32,Costa Rica,18,CRI
33,BERMUDA,16,BMU
34,Vietnam,15,VNM
35,Sri Lanka,14,LKA
36,Canada,14,CAN
37,Vanuatu,14,VUT
38,Marshall Islands,13,MHL
39,FRANCE,13,FRA
40,Turkey,12,TUR
41,UNITED KINGDOM,12,GBR
42,Iraq,12,IRQ
43,Thailand,12,THA
44,Colombia,12,COL
45,NEW GUINEA,11,PNG
46,Senegal,11,SEN
47,Venezuela,11,VEN
48,Samoa,11,ASM
49,Ecuador,11,ECU
50,Seychelles,10,SYC
51,KENYA,10,KEN
52,MAURITIUS,10,MUS
53,CHINA,9,CHN
54,SIERRA LEONE,9,SLE
55,Yemen,9,YEM
56,TURKS & CAICOS,9,TCA
57,Taiwan,9,TWN
58,Israel,8,ISR
59,South Korea,8,KOR
60,Belize,8,BLZ
61,Chile,8,CHL
62,Maldives,8,MDV
63,Kingdom of Scotland,8,
64,Tanzania,8,TZA
65,CARIBBEAN SEA,8,
66,Madagascar,8,MDG
67,INDIAN OCEAN,8,IOT
68,Nicaragua,7,NIC
69,Dominican Republic,7,DOM
70,Somalia,6,SOM
71,OKINAWA,6,
72,Honduras,6,HND
73,Libya,6,LBY
74,Barbados,6,BRB
75,Singapore,6,SGP
76,Kiribati,6,KIR
77,NEW BRITAIN,6,
78,Sudan,5,SSD
79,REUNION ISLAND,5,
80,Malaysia,5,MYS
81,Palau,5,PLW
82,Saudi Arabia,5,SAU
83,Malta,5,MLT
84,AZORES,5,
85,GUAM,4,GUM
86,RUSSIA,4,RUS
87,SRI LANKA,4,LKA
88,Myanmar,4,MMR
89,Portugal,4,PRT
90,Federated States of Micronesia,4,
91,Uruguay,4,URY
92,PERSIAN GULF,4,
93,United Arab Emirates,4,ARE
94,Nigeria,4,NGA
95,El Salvador,4,SLV
96,Grenada,4,GRD
97,MARTINIQUE,3,MTQ
98,GUYANA,3,GUY
99,Haiti,3,HTI
100,Tunisia,3,TUN
101,AMERICAN SAMOA,3,ASM
102,Lebanon,3,LBN
103,Montenegro,3,MNE
104,Guinea,3,GNQ
105,RED SEA,3,
106,Liberia,3,LBR
107,Trinidad and Tobago,3,TTO
108,Cape Verde,3,CPV
109,TOBAGO,3,TTO
110,ST MARTIN,3,MAF
111,ANTIGUA,2,ATG
112,ANDAMAN ISLANDS,2,
113,Argentina,2,ARG
114,Peru,2,PER
115,CAYMAN ISLANDS,2,CYM
116,CENTRAL PACIFIC,2,
117,JOHNSTON ISLAND,2,
118,"ST HELENA, BRITISH OVERSEAS TERRITORY",2,
119,Namibia,2,NAM
120,NORWAY,2,NOR
121,CRETE,2,
122,Iceland,2,ISL
123,IRELAND,2,IRL
124,WEST INDIES,2,
125,MEDITERRANEAN SEA,2,
126,Cyprus,1,CYP
127,Paraguay,1,PRY
128,TRINIDAD & TOBAGO,1,
129,OCEAN,1,IOT
130,FALKLAND ISLANDS,1,FLK
131,Kuwait,1,KWT
132,Georgia,1,GEO
133,Syria,1,SYR
134,Tuvalu,1,TUV
135,CORAL SEA,1,
136,Angola,1,AGO
137,Morocco,1,MAR
138,EQUATORIAL GUINEA / CAMEROON,1,
139,COOK ISLANDS,1,COK
140,AFRICA,1,CAF
141,Algeria,1,DZA
142,COAST OF AFRICA,1,
143,TASMAN SEA,1,
144,GHANA,1,GHA
145,GREENLAND,1,GRL
146,Sweden,1,SWE
147,ROATAN,1,
148,BETWEEN PORTUGAL & INDIA,1,
149,Djibouti,1,DJI
150,Bahrain,1,BHR
151,KOREA,1,PRK
152,SAN DOMINGO,1,
153,Slovenia,1,SVN
154,Jordan,1,JOR
155,Monaco,1,MCO
156,EGYPT,1,EGY
157,GRAND CAYMAN,1,
158,GULF OF ADEN,1,
159,SOUTH CHINA SEA,1,
160,Bangladesh,1,BGD
161,BRITISH VIRGIN ISLANDS,1,
162,NEVIS,1,KNA
163,State of Palestine,1,
164,DIEGO GARCIA,1,
165,PUERTO RICO,1,PRI
166,ARUBA,1,ABW
167,ADMIRALTY ISLANDS,1,
168,NORTH SEA,1,
169,Comoros,1,COM
170,Gabon,1,GAB
171,MAYOTTE,1,MYT
172,THE BALKANS,1,
173,Guatemala,1,GTM
174,NETHERLANDS ANTILLES,1,ANT
175,NORTHERN MARIANA ISLANDS,1,MNP
176,IRAN / IRAQ,1,
177,JAVA,1,
178,SOLOMON ISLANDS,1,SLB
179,BAY OF BENGAL,1,
180,PACIFC OCEAN,1,
181,NORTHERN ARABIAN SEA,1,
182,CURACAO,1,
183,ITALY / CROATIA,1,
184,Saint Kitts and Nevis,1,KNA
185,ASIA?,1,
C OCEAN,1,,
183,BAY OF BENGAL,1,
184,SOLOMON ISLANDS / VANUATU,1,
185,JAVA,1,
186,IRAN / IRAQ,1,
187,NORTHERN MARIANA ISLANDS,1,MNP
188,Guatemala,1,GTM
189,CORAL SEA,1,
190,THE BALKANS,1,
191,MAYOTTE,1,MYT
192,Gabon,1,GAB
193,ANDAMAN / NICOBAR ISLANDAS,1,
194,TRINIDAD,1,TTO
195,NORTH SEA,1,
196,RED SEA / INDIAN OCEAN,1,
197,CEYLON (SRI LANKA),1,